iter	Passed	Remaining
0	62	62140
1	62	31293
2	63	20954
3	63	15771
4	63	12677
5	63	10600
6	64	9128
7	64	8012
8	64	7150
9	65	6454
10	65	5882
11	65	5408
12	65	5005
13	66	4675
14	66	4378
15	67	4126
16	67	3894
17	67	3689
18	67	3505
19	68	3343
20	68	3195
21	68	3058
22	69	2936
23	69	2821
24	69	2717
25	69	2620
26	70	2533
27	70	2448
28	70	2371
29	71	2300
30	71	2235
31	71	2172
32	72	2114
33	72	2058
34	72	2005
35	73	1955
36	73	1909
37	73	1867
38	74	1826
39	74	1785
40	74	1748
41	75	1713
42	75	1678
43	75	1645
44	76	1613
45	76	1581
46	76	1553
47	76	1525
48	77	1498
49	77	1471
50	77	1446
51	78	1422
52	78	1398
53	78	1375
54	78	1354
55	79	1333
56	79	1313
57	79	1295
58	80	1277
59	80	1258
60	80	1241
61	81	1226
62	81	1209
63	81	1193
64	81	1177
65	82	1162
66	82	1148
67	82	1133
68	83	1120
69	83	1106
70	83	1093
71	83	1080
72	84	1067
73	84	1055
74	84	1044
75	85	1033
76	85	1023
77	85	1012
78	85	1001
79	86	991
80	86	981
81	86	971
82	86	960
83	87	951
84	87	941
85	87	932
86	87	923
87	88	914
88	88	906
89	88	897
90	89	889
91	89	881
92	89	873
93	89	866
94	90	858
95	90	851
96	90	844
97	90	837
98	91	830
99	91	823
100	91	816
101	92	810
102	92	804
103	92	798
104	92	792
105	93	786
106	93	780
107	93	775
108	94	769
109	94	763
110	94	758
111	94	752
112	95	747
113	95	742
114	95	737
115	95	731
116	96	726
117	96	721
118	96	716
119	96	711
120	97	706
121	97	700
122	97	696
123	97	691
124	98	687
125	98	683
126	98	678
127	98	673
128	99	670
129	99	666
130	99	662
131	100	658
132	100	654
133	100	650
134	100	646
135	101	642
136	101	639
137	101	635
138	102	631
139	102	628
140	102	624
141	102	620
142	103	617
143	103	614
144	103	610
145	103	607
146	104	603
147	104	600
148	104	597
149	104	594
150	105	591
151	105	588
152	105	585
153	105	581
154	106	578
155	106	575
156	106	572
157	106	569
158	107	567
159	107	564
160	107	560
161	107	558
162	108	555
163	108	552
164	108	550
165	108	547
166	109	544
167	109	542
168	109	539
169	110	537
170	110	534
171	110	532
172	110	530
173	111	528
174	111	525
175	111	523
176	112	520
177	112	518
178	112	516
179	112	513
180	113	511
181	113	509
182	113	507
183	113	505
184	114	503
185	114	501
186	114	498
187	114	496
188	115	494
189	115	492
190	115	490
191	116	488
192	116	487
193	116	485
194	117	483
195	117	482
196	117	480
197	118	478
198	118	476
199	118	474
200	119	473
201	119	471
202	119	469
203	119	467
204	120	465
205	120	463
206	120	462
207	120	460
208	121	458
209	121	457
210	121	455
211	122	453
212	122	452
213	122	450
214	122	448
215	123	446
216	123	445
217	123	443
218	124	442
219	124	440
220	124	439
221	124	437
222	125	436
223	125	434
224	125	433
225	126	431
226	126	430
227	126	428
228	126	426
229	127	425
230	127	424
231	127	422
232	127	421
233	128	419
234	128	418
235	128	416
236	128	415
237	129	413
238	129	412
239	129	411
240	130	409
241	130	408
242	130	407
243	130	405
244	131	404
245	131	403
246	131	401
247	132	400
248	132	399
249	132	398
250	132	396
251	133	395
252	133	394
253	133	393
254	134	391
255	134	390
256	134	389
257	134	388
258	135	386
259	135	385
260	135	384
261	136	383
262	136	382
263	136	381
264	136	379
265	137	380
266	138	379
267	138	378
268	138	377
269	139	376
270	139	374
271	139	373
272	139	372
273	140	371
274	140	370
275	140	369
276	141	368
277	141	367
278	141	366
279	141	365
280	142	364
281	142	363
282	142	362
283	143	360
284	143	359
285	143	358
286	144	357
287	144	356
288	144	355
289	144	354
290	145	353
291	145	352
292	145	351
293	146	350
294	146	349
295	146	348
296	146	347
297	147	346
298	147	345
299	147	344
300	148	343
301	148	342
302	148	341
303	148	340
304	149	339
305	149	338
306	149	338
307	149	337
308	150	335
309	150	335
310	150	334
311	151	333
312	151	332
313	151	331
314	151	330
315	152	329
316	152	328
317	152	327
318	153	326
319	153	325
320	153	324
321	153	323
322	154	323
323	154	322
324	154	321
325	154	320
326	155	319
327	155	318
328	155	317
329	156	317
330	156	316
331	156	315
332	156	314
333	157	313
334	157	312
335	157	311
336	157	310
337	158	309
338	158	309
339	158	308
340	159	307
341	159	306
342	159	305
343	159	304
344	160	304
345	160	303
346	160	302
347	161	301
348	161	300
349	161	299
350	161	299
351	162	298
352	162	297
353	162	296
354	162	296
355	163	295
356	163	294
357	163	293
358	163	292
359	164	292
